,protocol,t,instances,time,security
0,hybrid,33554432,100000,15.8729,smt
1,bucket,33554432,100000,4.76615,smt
2,exponent,33554432,100000,22.83,smt
3,hybrid,33554432,100000,15.8953,smt
4,bucket,33554432,100000,4.7766,smt
5,exponent,33554432,100000,22.7883,smt
6,hybrid,33554432,100000,15.8513,smt
7,bucket,33554432,100000,4.8303,smt
8,exponent,33554432,100000,22.7064,smt
9,hybrid,33554432,100000,15.6401,smt
10,bucket,33554432,100000,4.60376,smt
11,exponent,33554432,100000,22.3049,smt
12,hybrid,33554432,100000,15.554,smt
13,bucket,33554432,100000,4.65518,smt
14,exponent,33554432,100000,22.2466,smt
15,hybrid,33554432,100000,15.6034,smt
16,bucket,33554432,100000,4.61338,smt
17,exponent,33554432,100000,22.3484,smt
18,hybrid,33554432,100000,15.5778,smt
19,bucket,33554432,100000,4.64395,smt
20,exponent,33554432,100000,22.3486,smt
