,protocol,t,instances,time,security
0,hybrid,33554432,10000,1.58349,smt
1,bucket,33554432,10000,0.639765,smt
2,exponent,33554432,10000,2.23862,smt
3,hybrid,33554432,10000,1.58275,smt
4,bucket,33554432,10000,0.651027,smt
5,exponent,33554432,10000,2.25114,smt
6,hybrid,33554432,10000,1.57935,smt
7,bucket,33554432,10000,0.645251,smt
8,exponent,33554432,10000,2.28644,smt
9,hybrid,33554432,10000,1.60841,smt
10,bucket,33554432,10000,0.680458,smt
11,exponent,33554432,10000,2.28243,smt
12,hybrid,33554432,10000,1.62071,smt
13,bucket,33554432,10000,0.662659,smt
14,exponent,33554432,10000,2.27369,smt
15,hybrid,33554432,10000,1.66006,smt
16,bucket,33554432,10000,0.690919,smt
17,exponent,33554432,10000,2.44256,smt
18,hybrid,33554432,10000,1.68954,smt
19,bucket,33554432,10000,0.656615,smt
20,exponent,33554432,10000,2.32493,smt
