,protocol,t,instances,time,security
0,hybrid,33554432,1000000,153.801,smt
1,bucket,33554432,1000000,38.1722,smt
2,exponent,33554432,1000000,221.43,smt
3,hybrid,33554432,1000000,153.529,smt
4,bucket,33554432,1000000,38.0372,smt
5,exponent,33554432,1000000,220.503,smt
6,hybrid,33554432,1000000,155.811,smt
7,bucket,33554432,1000000,39.8289,smt
8,exponent,33554432,1000000,227.458,smt
9,hybrid,33554432,1000000,156.074,smt
10,bucket,33554432,1000000,39.6597,smt
11,exponent,33554432,1000000,228.634,smt
12,hybrid,33554432,1000000,153.968,smt
13,bucket,33554432,1000000,37.9555,smt
14,exponent,33554432,1000000,220.745,smt
15,hybrid,33554432,1000000,153.502,smt
16,bucket,33554432,1000000,37.272,smt
17,exponent,33554432,1000000,221.247,smt
18,hybrid,33554432,1000000,153.192,smt
19,bucket,33554432,1000000,38.0568,smt
20,exponent,33554432,1000000,228.535,smt
