,protocol,t,instances,time,security
0,hybrid,33554432,1000,0.189496,smt
1,bucket,33554432,1000,0.11694,smt
2,exponent,33554432,1000,0.225662,smt
3,hybrid,33554432,1000,0.184691,smt
4,bucket,33554432,1000,0.117898,smt
5,exponent,33554432,1000,0.239834,smt
6,hybrid,33554432,1000,0.197853,smt
7,bucket,33554432,1000,0.119591,smt
8,exponent,33554432,1000,0.247913,smt
9,hybrid,33554432,1000,0.19592,smt
10,bucket,33554432,1000,0.118255,smt
11,exponent,33554432,1000,0.222517,smt
12,hybrid,33554432,1000,0.180787,smt
13,bucket,33554432,1000,0.121534,smt
14,exponent,33554432,1000,0.245225,smt
15,hybrid,33554432,1000,0.195368,smt
16,bucket,33554432,1000,0.119094,smt
17,exponent,33554432,1000,0.237116,smt
18,hybrid,33554432,1000,0.194861,smt
19,bucket,33554432,1000,0.118852,smt
20,exponent,33554432,1000,0.242095,smt
